sno,name,handedness,height,weight,average,HR,ratio,bodytype
987,Colby Ward,R,74,185,0,0,0.4,
988,Jerry Morales,R,70,155,0.259,95,0.451612903,
989,Davey Lopes,R,69,170,0.263,155,0.405882353,
990,Catfish Hunter,R,72,190,0.226,6,0.378947368,
991,Mario Soto,R,72,174,0.132,1,0.413793103,
992,Jimmy Wynn,R,70,160,0.25,291,0.4375,
993,Hank Allen,R,72,190,0.241,6,0.378947368,
994,Jim Fregosi,R,73,190,0.265,151,0.384210526,
995,Pepe Frias,R,70,159,0.24,1,0.440251572,
996,Mike Schmidt,R,74,195,0.267,548,0.379487179,
997,Willie Montanez,L,72,170,0.275,139,0.423529412,
998,Rey Quinones,R,71,160,0.243,29,0.44375,
999,Mike Squires,L,71,185,0.26,6,0.383783784,
1000,Champ Summers,L,74,205,0.255,54,0.36097561,
1001,Chuck Porter,R,75,187,0,0,0.401069519,
1002,Bert Campaneris,R,70,160,0.259,79,0.4375,
1003,Bobby Valentine,R,70,189,0.26,12,0.37037037,
1004,Rob Andrews,R,72,185,0.251,3,0.389189189,
1005,Tom Haller,L,76,195,0.257,134,0.38974359,
1006,Tom Dozier,R,74,190,0,0,0.389473684,
1007,Ed Stroud,L,71,180,0.237,14,0.394444444,
1008,Ron Swoboda,R,74,195,0.242,73,0.379487179,
1009,Harry Spilman,L,73,180,0.237,18,0.405555556,
1010,Bob Barton,R,72,175,0.226,9,0.411428571,
1011,Daryl Sconiers,L,74,185,0.265,15,0.4,
1012,Joe Torre,R,74,212,0.297,252,0.349056604,
1013,Al Ferrara,R,73,200,0.259,51,0.365,
1014,Rick Steirer,R,76,200,0,0,0.38,
1015,Sixto Lezcano,R,70,165,0.271,148,0.424242424,
1016,Al Lachowicz,R,75,198,0,0,0.378787879,
1017,Dave Nicholson,R,74,215,0.212,61,0.344186047,
1018,Freddie Patek,R,65,148,0.242,41,0.439189189,
1019,Ken Hubbs,R,74,175,0.247,14,0.422857143,
1020,Pepe Mangual,R,70,157,0.242,16,0.445859873,
1021,Leron Lee,L,72,196,0.25,31,0.367346939,
1022,Tom McCarthy,R,72,180,0,0,0.4,
1023,Steve Ontiveros,B,72,185,0.274,24,0.389189189,
1024,Willie Davis,L,74,180,0.279,182,0.411111111,
1025,Tom Lawless,R,71,170,0.207,2,0.417647059,
1026,Jerry Moses,R,75,210,0.251,25,0.357142857,
1027,Bobby Bonds,R,73,190,0.268,332,0.384210526,
1028,Dave McNally,R,71,185,0.133,9,0.383783784,
1029,Darrell Brown,B,72,184,0.274,1,0.391304348,
1030,Roy Foster,R,72,185,0.253,45,0.389189189,
1031,Denis Menke,R,72,185,0.25,101,0.389189189,
1032,Hal Breeden,R,74,200,0.243,21,0.37,
1033,Manny Trillo,R,73,150,0.263,61,0.486666667,
1034,Jackie Gutierrez,R,71,175,0.237,4,0.405714286,
1035,Jerry Kenney,L,73,170,0.237,7,0.429411765,
1036,Fred Kendall,R,73,185,0.234,31,0.394594595,
1037,Mike Anderson,R,74,200,0.246,28,0.37,
1038,Jim Lewis,R,75,190,0,0,0.394736842,
1039,Joe Charboneau,R,74,205,0.266,29,0.36097561,
1040,Jimmie Schaffer,R,69,170,0.223,11,0.405882353,
1041,Junior Kennedy,R,71,175,0.248,4,0.405714286,
1042,Wilbur Howard,B,74,170,0.25,6,0.435294118,
1043,Rod Gilbreath,R,74,180,0.248,14,0.411111111,
1044,Mark Brouhard,R,73,210,0.259,25,0.347619048,
1045,Dan Morogiello,L,73,200,0,0,0.365,
1046,Mike Young,B,74,195,0.247,72,0.379487179,
1047,Chris Speier,R,73,175,0.246,112,0.417142857,
1048,Gene Michael,B,74,183,0.229,15,0.404371585,
1049,Vic Harris,B,71,165,0.217,13,0.43030303,
1050,Mike Fischlin,R,73,165,0.22,3,0.442424242,
1051,Don Money,R,73,170,0.261,176,0.429411765,
1052,Joe Rudi,R,74,200,0.264,179,0.37,
1053,Jim Rice,R,74,200,0.298,382,0.37,
1054,Shawn Holman,R,74,185,0,0,0.4,
1055,Alan Wirth,R,76,190,0,0,0.4,
1056,Gil Garrido,R,69,150,0.237,1,0.46,
1057,Marty Perez,R,71,160,0.246,22,0.44375,
1058,Tom Matchick,L,73,173,0.215,4,0.421965318,
1059,Jack Perconte,L,70,160,0.27,2,0.4375,
1060,Ed Kirkpatrick,L,71,195,0.238,85,0.364102564,
1061,Jerry Grote,R,70,185,0.252,39,0.378378378,
1062,Ellie Hendricks,L,73,175,0.22,62,0.417142857,
1063,Jim Beauchamp,R,74,190,0.231,14,0.389473684,
1064,Terry Wilshusen,R,74,210,0,0,0.352380952,
1065,Tito Fuentes,B,71,175,0.268,45,0.405714286,
1066,Ron Brand,R,67,167,0.239,3,0.401197605,
1067,Leo Cardenas,R,71,150,0.257,118,0.473333333,
1068,Art Shamsky,L,73,168,0.253,68,0.43452381,
1069,Steve Ellsworth,R,80,220,0,0,0.363636364,
1070,Ron Cey,R,70,185,0.261,316,0.378378378,
1071,Skip Jutze,R,71,190,0.215,3,0.373684211,
1072,Butch Wynegar,B,73,190,0.255,65,0.384210526,
1073,Ron LeFlore,R,72,200,0.288,59,0.36,
1074,Bill Russell,R,72,175,0.263,46,0.411428571,
1075,Gene Tenace,R,72,190,0.241,201,0.378947368,
1076,Bubba Morton,R,70,175,0.267,14,0.4,
1077,Ellie Rodriguez,R,71,185,0.245,16,0.383783784,
1078,Darrel Chaney,B,74,188,0.217,14,0.393617021,
1079,Dick Nen,L,74,200,0.224,21,0.37,
1080,Bryan Kelly,R,74,195,0,0,0.379487179,
1081,Bill Freehan,R,75,203,0.262,200,0.369458128,
1082,Steve Nicosia,R,70,185,0.248,11,0.378378378,
1083,Ted Savage,R,73,185,0.233,34,0.394594595,
1084,Pete Mackanin,R,74,190,0.226,30,0.389473684,
1085,Rich Dauer,R,72,180,0.257,43,0.4,
1086,Mick Kelleher,R,69,176,0.213,0,0.392045455,
1087,Rowland Office,L,72,170,0.259,32,0.423529412,
1088,Rick Leach,L,73,180,0.268,18,0.405555556,
1089,Dwayne Murphy,L,73,185,0.246,166,0.394594595,
1090,Larry Harlow,L,74,185,0.248,12,0.4,
1091,Mike Epstein,L,75,230,0.244,130,0.326086957,
1092,Jerry Mumphrey,B,74,185,0.289,70,0.4,
1093,Don Sutton,R,73,185,0.144,0,0.394594595,
1094,Glenn Beckert,R,73,190,0.283,22,0.384210526,
1095,Ron Davis,R,72,175,0.233,10,0.411428571,
1096,Mike Shannon,R,75,195,0.255,68,0.384615385,
1097,Jason Thompson,L,76,200,0.261,208,0.38,
1098,Wayne Tolleson,B,69,160,0.241,9,0.43125,
1099,John Leister,R,74,200,0,0,0.37,
1100,Don Cooper,R,73,185,0,0,0.394594595,
1101,Mike Jorgensen,L,72,195,0.243,95,0.369230769,
1102,Ed Romero,R,71,160,0.247,8,0.44375,
1103,Rick Joseph,R,73,192,0.243,13,0.380208333,
1104,Cecil Cooper,L,74,165,0.298,241,0.448484848,
1105,Bill Almon,R,75,180,0.254,36,0.416666667,
1106,Joe Ferguson,R,74,200,0.24,122,0.37,
1107,Jeff Jones,R,75,210,0,0,0.357142857,
1108,Jerry Terrell,R,71,165,0.253,4,0.43030303,
1109,John Poloni,L,77,210,0,0,0.366666667,
1110,Dave Revering,L,76,210,0.265,62,0.361904762,
1111,Curt Ford,L,70,150,0.245,7,0.466666667,
1112,Jerry Dybzinski,R,74,180,0.234,3,0.411111111,
1113,Mike Willis,L,74,205,0,0,0.36097561,
1114,Bob Burda,L,71,174,0.224,13,0.408045977,
1115,Jesse Gonder,L,70,180,0.251,26,0.388888889,
1116,Gary Sutherland,R,72,185,0.243,24,0.389189189,
1117,Bob Coluccio,R,71,183,0.22,26,0.387978142,
1118,Dave Rader,L,71,165,0.257,30,0.43030303,
1119,Ron Gardenhire,R,72,175,0.232,4,0.411428571,
1120,Bill Sharp,L,70,178,0.255,9,0.393258427,
1121,Alan Bannister,R,71,170,0.27,19,0.417647059,
1122,Bob Watson,R,72,201,0.295,184,0.358208955,
1123,Ken Harrelson,R,74,190,0.239,131,0.389473684,
1124,Bobby Wine,R,73,187,0.215,30,0.390374332,
1125,Stefan Wever,R,80,245,0,0,0.326530612,
1126,John Kennedy,R,72,185,0.225,32,0.389189189,
1127,Chico Ruiz,B,72,169,0.24,2,0.426035503,
1128,Dave Johnson,R,73,183,0,0,0.398907104,
1129,Gail Hopkins,L,70,198,0.266,25,0.353535354,
1130,Doug Frobel,L,76,196,0.201,20,0.387755102,
1131,Luis Melendez,R,72,165,0.248,9,0.436363636,
1132,Jerry Augustine,L,72,183,0,0,0.393442623,
1133,Bill Plummer,R,73,190,0.188,14,0.384210526,
1134,Buck Rodgers,B,74,190,0.232,31,0.389473684,
1135,Phil Niekro,R,73,180,0.169,7,0.405555556,
1136,Jeff Holly,L,77,210,0,0,0.366666667,
1137,Tom Poquette,L,70,175,0.268,10,0.4,
1138,Eric Hetzel,R,75,175,0,0,0.428571429,
1139,Brian Asselstine,L,73,175,0.254,12,0.417142857,
1140,Rick Miller,L,72,175,0.269,28,0.411428571,
1141,Ed Charles,R,70,170,0.263,86,0.411764706,
1142,Luis Gomez,R,69,150,0.21,0,0.46,
1143,Dave Lemanczyk,R,76,235,0,0,0.323404255,
1144,Al Jones,R,76,210,0,0,0.361904762,
1145,Floyd Rayford,R,70,190,0.244,38,0.368421053,
1146,Sam Hinds,R,78,215,0,0,0.362790698,
1147,Tony Conigliaro,R,75,185,0.264,166,0.405405405,
1148,Clay Christiansen,R,77,205,0,0,0.375609756,
1149,Jim Barr,R,75,205,0.162,1,0.365853659,
1150,Jerry Remy,L,69,165,0.275,7,0.418181818,
1151,Larry Rothschild,L,74,180,0,0,0.411111111,
1152,Frank Duffy,R,73,180,0.232,26,0.405555556,
1153,Gary Lance,B,75,195,0,0,0.384615385,
1154,Tom O'Malley,L,72,180,0.256,13,0.4,
1155,Phil Garner,R,70,175,0.26,109,0.4,
1156,Larry Pashnick,R,75,205,0,0,0.365853659,
1157,Todd Fischer,R,70,170,0,0,0.411764706,
